Fecha,total_internacional,aerea,terrestre,maritima,america_centro,america_norte,europa
2015-07-01,160078.94395430412,106927,145112.17713215479,2001,176548.67229525387,55031.504836900916,10932
2015-08-01,163350.15839732031,90600,153964.15541175148,7790,182715.76114240257,40773.394269348879,11590
2015-09-01,120717.71858310552,82888,123150.77080266396,662,159367.91214107058,28826.858661593367,7652
2015-10-01,134631.84587605452,97243,129911.27882344542,3225,172803.78183515833,35099.496988287094,9191
2015-11-01,143031.34404672243,110173,134124.0101002201,6780,180825.69110129538,40229.318998924711,12986
2015-12-01,189993.33317425006,129751,198336.23853178963,7801,250276.65700783863,56265.581523950998,11856
2016-01-01,153079.07550699709,109052,151890.6293521066,8953,192937.11552731699,42564.51382478961,13150
2016-02-01,135019.49101565994,90944,122700.72979089251,11708,147150.87814481193,41660.851646080569,13890
2016-03-01,202375.22475940175,117172,203725.33266050773,14234,238870.44667783804,56246.885982669715,14293
2016-04-01,127448.9933316056,90938,119589.92035013388,12028,157651.36618051215,34139.554169621719,9405
2016-05-01,130199.95403913142,96379,126769.92774985194,9518,169370.96893511314,36422.958814738806,7526
2016-06-01,134045.01896221691,113143,112416.2952819879,1366,159050.22385501658,50353.071426971313,6683
2016-07-01,162295.72711677369,130062,138086.23955853496,1708,188728.40315524102,57301.836403293935,11278
2016-08-01,156633.15674242767,100986,156987.9277235241,11894.000000000002,200565.55700648308,37053.37071704102,10319
2016-09-01,109991.73534700907,80637.428571428638,105519.87974597144,662,143338.39823605682,25812.897222970292,7501.7682943050177
2016-10-01,149131.79068249755,102214,146177.26446227162,3017,194543.07647134512,33765.187990926475,9028
2016-11-01,149982.55620569887,111954,138776.98052789879,16219.000000000002,191532.65548609028,35331.325041808508,12814
2016-12-01,192268.3580225294,111842,208484.1886656979,22983,262265.66049666528,40939.528169032659,9499
2017-01-01,159273.72790788751,99217,160424.60794906894,18286,197417.31572475474,35958.059455475697,13566.181203015478
2017-02-01,147967.97674368447,94604,139114.22885076454,12864.999999999998,166979.10573019806,40764.34532734305,14561.081627321388
2017-03-01,189889.27432556846,106339,188105.47511360855,11212,219075.70534685743,48536.348551808587,15015.588666386282
2017-04-01,219267.72896983623,110230.00000000001,267598.72896983637,20271.000000000004,309634.00842246198,44296.686508325016,11567.855572090974
2017-05-01,136746.60021664295,89750,153991.78519639443,5908,189615.35754693896,34824.893885024583,8172.0535791743423
2017-06-01,149339.04496434654,114127.99999999999,133725.40796743412,1460,177782.05194330736,52114.105624126765,7149.9474000000009
2017-07-01,182354.71010983887,134449,157125.27301642345,1543,202947.73817983808,62265.321436585386,13228.9684
2017-08-01,176302.34410658933,100536,173757.59321544986,0,210649.62302464846,40281.477990801424,12124.683999999994
2017-09-01,126105.70743159147,91091,122605.60197929587,4268,166138.01439936445,28514.537579931428,8198.3281999999999
2017-10-01,141126.32943561443,109105.00000000001,129950.67001993403,12419,180227.87774458498,37063.303875349069,10459.014500000003
2017-11-01,157323.16843257655,121391.99999999999,154301.41578931193,15268,209690.92672017007,40241.03651914181,13871.606100000014
2017-12-01,198459.52939766715,142949,213160.49892152505,25563,277928.66306605522,56120.835855469835,11078.999999999995
2018-01-01,186036.45044271697,117446,186373.21797426831,29506,229847.23340657074,45420.92776769754,14512.3104
2018-02-01,158884.93952785656,96337,155329.99157049917,16491,185100.07677973848,41350.914790760697,14219.000000000005
2018-03-01,246119.68202803147,124266,268754.78296043223,17604,308231.15638934495,58272.62657108729,13939.000000000007
2018-04-01,177210.18184352654,104951,203288.86135377199,19374.000000000004,244258.98755994975,41174.778793822268,11243.094999999999
2018-05-01,165426.38692746125,103815.00000000001,173935.08211555931,8936,216959.07423047256,40062.185485086746,8852
2018-06-01,178267.36990171857,120718.00000000067,190562.35050851022,2020,234902.60456822961,58332.449940271152,7649.0000000170121
2018-07-01,211558.74688669536,134933,202367.58994755434,0,248852.39995325293,63754.189994301421,13359.000000000005
2018-08-01,220102.90717584404,110568.00000000073,241748.57173999088,743,280768.62060496118,46511.951135030409,14017.000000000009
2018-09-01,151617.3116349873,94931.29173150647,177845.77673603187,2149,222892.34701733154,31230.721450206787,7702.9999999999964
2018-10-01,160234.58516850809,115003.99628460119,167168.2164132066,14864.000000000002,218947.531641446,40830.301355619777,10687.371700216832
2018-11-01,178449.96406974204,135409.36194730835,174278.274713741,17760,234351.36219900288,47376.274462046487,15213.999999999995
