lago,bloque_id,bloque_x,bloque_y,n_alta_cyano_0,n_alta_cyano_1,n_total
atitlan,atitlan_687_1622,687,1622,156,0,156
atitlan,atitlan_703_1617,703,1617,126,0,126
atitlan,atitlan_707_1624,707,1624,117,0,117
atitlan,atitlan_704_1614,704,1614,116,0,116
atitlan,atitlan_705_1614,705,1614,109,0,109
atitlan,atitlan_681_1630,681,1630,100,0,100
atitlan,atitlan_705_1617,705,1617,97,0,97
atitlan,atitlan_706_1623,706,1623,86,0,86
atitlan,atitlan_683_1618,683,1618,84,0,84
atitlan,atitlan_699_1631,699,1631,84,0,84
atitlan,atitlan_702_1626,702,1626,76,0,76
atitlan,atitlan_681_1617,681,1617,67,0,67
atitlan,atitlan_705_1619,705,1619,63,0,63
atitlan,atitlan_707_1616,707,1616,62,0,62
atitlan,atitlan_682_1624,682,1624,60,0,60
atitlan,atitlan_704_1617,704,1617,49,0,49
atitlan,atitlan_686_1622,686,1622,43,0,43
atitlan,atitlan_685_1624,685,1624,41,0,41
atitlan,atitlan_682_1617,682,1617,27,0,27
atitlan,atitlan_700_1629,700,1629,22,0,22
atitlan,atitlan_706_1621,706,1621,21,0,21
atitlan,atitlan_682_1631,682,1631,19,0,19
atitlan,atitlan_704_1615,704,1615,18,0,18
atitlan,atitlan_700_1631,700,1631,17,0,17
atitlan,atitlan_683_1614,683,1614,15,0,15
atitlan,atitlan_698_1630,698,1630,12,0,12
atitlan,atitlan_707_1619,707,1619,12,0,12
atitlan,atitlan_706_1624,706,1624,9,0,9
atitlan,atitlan_699_1630,699,1630,8,0,8
atitlan,atitlan_693_1616,693,1616,7,0,7
atitlan,atitlan_706_1625,706,1625,5,0,5
atitlan,atitlan_683_1630,683,1630,3,0,3
