lago,bloque_x,bloque_y,n,positivos,fp,fn,tp,errores,x_centro,y_centro,tasa_error_pct,tasa_fp_pct,tasa_fn_pct
atitlan,689,1623,98448,0,0,0,0,0,689500.0,1623500.0,0.0,0.0,
atitlan,689,1624,108198,0,0,0,0,0,689500.0,1624500.0,0.0,0.0,
atitlan,689,1625,108257,0,0,0,0,0,689500.0,1625500.0,0.0,0.0,
atitlan,689,1626,107856,0,0,0,0,0,689500.0,1626500.0,0.0,0.0,
atitlan,689,1627,107532,0,0,0,0,0,689500.0,1627500.0,0.0,0.0,
atitlan,689,1628,78356,2,0,2,0,2,689500.0,1628500.0,0.0025524529072438614,0.0,100.0
atitlan,689,1629,14291,2,0,2,0,2,689500.0,1629500.0,0.013994821915891121,0.0,100.0
atitlan,690,1618,18863,28,64,21,7,85,690500.0,1618500.0,0.45061761119652227,0.3397929386779931,75.0
atitlan,690,1619,26855,14,20,14,0,34,690500.0,1619500.0,0.12660584621113385,0.07451287209865504,100.0
atitlan,690,1620,44501,97,144,48,49,192,690500.0,1620500.0,0.4314509786296937,0.3242951085487794,49.48453608247423
atitlan,690,1621,75589,18,0,18,0,18,690500.0,1621500.0,0.02381298866237151,0.0,100.0
atitlan,690,1622,103696,0,0,0,0,0,690500.0,1622500.0,0.0,0.0,
atitlan,690,1623,107397,0,0,0,0,0,690500.0,1623500.0,0.0,0.0,
atitlan,690,1624,106060,0,0,0,0,0,690500.0,1624500.0,0.0,0.0,
atitlan,690,1625,106288,0,0,0,0,0,690500.0,1625500.0,0.0,0.0,
atitlan,690,1626,106263,0,0,0,0,0,690500.0,1626500.0,0.0,0.0,
atitlan,690,1627,107097,0,0,0,0,0,690500.0,1627500.0,0.0,0.0,
atitlan,690,1628,100067,0,0,0,0,0,690500.0,1628500.0,0.0,0.0,
atitlan,690,1629,20374,0,0,0,0,0,690500.0,1629500.0,0.0,0.0,
atitlan,691,1621,37245,45,11,42,3,53,691500.0,1621500.0,0.14230097999731509,0.02956989247311828,93.33333333333333
atitlan,691,1622,98929,0,0,0,0,0,691500.0,1622500.0,0.0,0.0,
atitlan,691,1623,105282,0,0,0,0,0,691500.0,1623500.0,0.0,0.0,
atitlan,691,1624,104328,0,0,0,0,0,691500.0,1624500.0,0.0,0.0,
atitlan,691,1625,104585,0,0,0,0,0,691500.0,1625500.0,0.0,0.0,
atitlan,691,1626,105414,0,0,0,0,0,691500.0,1626500.0,0.0,0.0,
atitlan,691,1627,106527,0,0,0,0,0,691500.0,1627500.0,0.0,0.0,
atitlan,691,1628,104414,0,0,0,0,0,691500.0,1628500.0,0.0,0.0,
atitlan,691,1629,65973,0,0,0,0,0,691500.0,1629500.0,0.0,0.0,
atitlan,692,1621,6751,0,0,0,0,0,692500.0,1621500.0,0.0,0.0,
atitlan,692,1622,78592,0,0,0,0,0,692500.0,1622500.0,0.0,0.0,
atitlan,692,1623,104224,0,0,0,0,0,692500.0,1623500.0,0.0,0.0,
atitlan,692,1624,103504,0,0,0,0,0,692500.0,1624500.0,0.0,0.0,
atitlan,692,1625,103671,0,0,0,0,0,692500.0,1625500.0,0.0,0.0,
atitlan,692,1626,105370,0,0,0,0,0,692500.0,1626500.0,0.0,0.0,
atitlan,692,1627,107331,0,0,0,0,0,692500.0,1627500.0,0.0,0.0,
atitlan,692,1628,107843,0,0,0,0,0,692500.0,1628500.0,0.0,0.0,
atitlan,692,1629,91003,0,0,0,0,0,692500.0,1629500.0,0.0,0.0,
atitlan,692,1630,11633,0,0,0,0,0,692500.0,1630500.0,0.0,0.0,
atitlan,693,1616,7,0,0,0,0,0,693500.0,1616500.0,0.0,0.0,
atitlan,693,1621,1971,0,0,0,0,0,693500.0,1621500.0,0.0,0.0,
atitlan,693,1622,67416,1,5,0,1,5,693500.0,1622500.0,0.007416637000118667,0.007416747014759326,0.0
atitlan,693,1623,102768,0,0,0,0,0,693500.0,1623500.0,0.0,0.0,
atitlan,693,1624,104926,0,0,0,0,0,693500.0,1624500.0,0.0,0.0,
atitlan,693,1625,103907,0,0,0,0,0,693500.0,1625500.0,0.0,0.0,
atitlan,693,1626,104880,0,0,0,0,0,693500.0,1626500.0,0.0,0.0,
atitlan,693,1627,107233,0,0,0,0,0,693500.0,1627500.0,0.0,0.0,
atitlan,693,1628,108434,0,0,0,0,0,693500.0,1628500.0,0.0,0.0,
atitlan,693,1629,98425,0,0,0,0,0,693500.0,1629500.0,0.0,0.0,
atitlan,693,1630,32058,0,0,0,0,0,693500.0,1630500.0,0.0,0.0,
atitlan,694,1622,10823,0,0,0,0,0,694500.0,1622500.0,0.0,0.0,
atitlan,694,1623,93661,0,0,0,0,0,694500.0,1623500.0,0.0,0.0,
atitlan,694,1624,105911,0,0,0,0,0,694500.0,1624500.0,0.0,0.0,
atitlan,694,1625,104013,0,0,0,0,0,694500.0,1625500.0,0.0,0.0,
atitlan,694,1626,104903,0,0,0,0,0,694500.0,1626500.0,0.0,0.0,
atitlan,694,1627,107550,0,0,0,0,0,694500.0,1627500.0,0.0,0.0,
atitlan,694,1628,108571,3,0,3,0,3,694500.0,1628500.0,0.002763168801982113,0.0,100.0
atitlan,694,1629,103515,0,0,0,0,0,694500.0,1629500.0,0.0,0.0,
atitlan,694,1630,37176,0,0,0,0,0,694500.0,1630500.0,0.0,0.0,
atitlan,695,1622,2771,0,0,0,0,0,695500.0,1622500.0,0.0,0.0,
atitlan,695,1623,83319,0,0,0,0,0,695500.0,1623500.0,0.0,0.0,
atitlan,695,1624,106536,0,0,0,0,0,695500.0,1624500.0,0.0,0.0,
atitlan,695,1625,105329,0,0,0,0,0,695500.0,1625500.0,0.0,0.0,
atitlan,695,1626,107075,0,0,0,0,0,695500.0,1626500.0,0.0,0.0,
atitlan,695,1627,107494,0,0,0,0,0,695500.0,1627500.0,0.0,0.0,
atitlan,695,1628,107669,0,0,0,0,0,695500.0,1628500.0,0.0,0.0,
atitlan,695,1629,104284,0,0,0,0,0,695500.0,1629500.0,0.0,0.0,
atitlan,695,1630,40707,1,0,1,0,1,695500.0,1630500.0,0.002456579949394453,0.0,100.0
atitlan,696,1622,1670,0,0,0,0,0,696500.0,1622500.0,0.0,0.0,
atitlan,696,1623,76639,1,0,1,0,1,696500.0,1623500.0,0.0013048186954422683,0.0,100.0
atitlan,696,1624,107538,0,0,0,0,0,696500.0,1624500.0,0.0,0.0,
atitlan,696,1625,105620,0,0,0,0,0,696500.0,1625500.0,0.0,0.0,
atitlan,696,1626,106553,0,0,0,0,0,696500.0,1626500.0,0.0,0.0,
atitlan,696,1627,106073,0,0,0,0,0,696500.0,1627500.0,0.0,0.0,
atitlan,696,1628,106682,1,0,1,0,1,696500.0,1628500.0,0.0009373652537447742,0.0,100.0
atitlan,696,1629,105845,0,0,0,0,0,696500.0,1629500.0,0.0,0.0,
atitlan,696,1630,59178,2,0,2,0,2,696500.0,1630500.0,0.00337963432356619,0.0,100.0
atitlan,696,1631,2028,0,0,0,0,0,696500.0,1631500.0,0.0,0.0,
atitlan,697,1622,19591,0,0,0,0,0,697500.0,1622500.0,0.0,0.0,
atitlan,697,1623,82987,0,0,0,0,0,697500.0,1623500.0,0.0,0.0,
atitlan,697,1624,106864,0,0,0,0,0,697500.0,1624500.0,0.0,0.0,
atitlan,697,1625,105188,0,0,0,0,0,697500.0,1625500.0,0.0,0.0,
atitlan,697,1626,105336,0,0,0,0,0,697500.0,1626500.0,0.0,0.0,
atitlan,697,1627,106043,0,0,0,0,0,697500.0,1627500.0,0.0,0.0,
atitlan,697,1628,107296,0,0,0,0,0,697500.0,1628500.0,0.0,0.0,
atitlan,697,1629,101881,1,0,1,0,1,697500.0,1629500.0,0.000981537283693721,0.0,100.0
atitlan,697,1630,59894,3,5,2,1,7,697500.0,1630500.0,0.01168731425518416,0.008348499774590507,66.66666666666667
atitlan,697,1631,8426,0,0,0,0,0,697500.0,1631500.0,0.0,0.0,
atitlan,698,1621,8694,1,0,1,0,1,698500.0,1621500.0,0.011502185415228893,0.0,100.0
atitlan,698,1622,74838,0,0,0,0,0,698500.0,1622500.0,0.0,0.0,
atitlan,698,1623,103055,0,0,0,0,0,698500.0,1623500.0,0.0,0.0,
atitlan,698,1624,106717,0,0,0,0,0,698500.0,1624500.0,0.0,0.0,
atitlan,698,1625,106543,0,0,0,0,0,698500.0,1625500.0,0.0,0.0,
atitlan,698,1626,107072,0,0,0,0,0,698500.0,1626500.0,0.0,0.0,
atitlan,698,1627,107245,0,0,0,0,0,698500.0,1627500.0,0.0,0.0,
atitlan,698,1628,105615,0,0,0,0,0,698500.0,1628500.0,0.0,0.0,
atitlan,698,1629,66011,0,0,0,0,0,698500.0,1629500.0,0.0,0.0,
atitlan,698,1630,12,0,0,0,0,0,698500.0,1630500.0,0.0,0.0,
atitlan,699,1619,1021,6,18,0,6,18,699500.0,1619500.0,1.762977473065622,1.7733990147783252,0.0
atitlan,699,1620,4646,0,0,0,0,0,699500.0,1620500.0,0.0,0.0,
atitlan,699,1621,79355,11,0,11,0,11,699500.0,1621500.0,0.013861760443576334,0.0,100.0
atitlan,699,1622,100702,0,0,0,0,0,699500.0,1622500.0,0.0,0.0,
atitlan,699,1623,107053,0,0,0,0,0,699500.0,1623500.0,0.0,0.0,
atitlan,699,1624,107679,0,0,0,0,0,699500.0,1624500.0,0.0,0.0,
